word,count
"('and/or', 'other')",39
"('benefits', 'for')",39
"('internal', 'or')",39
"('or', 'external')",39
"('listed', 'above')",39
"('and', 'improving')",39
"('of', '3')",39
"('and', 'has')",39
"('of', 'technology')",38
"('we', 'need')",38
"('experience', 'using')",38
"('management', 'and')",38
"('with', 'cross-functional')",38
"('participate', 'in')",38
"('people', 'who')",38
"('strategy', 'and')",38
"('across', 'multiple')",38
"('needs', 'and')",38
"('pipelines', 'and')",38
"('with', 'others')",38
"('we', 'look')",38
"('of', 'this')",38
"('the', 'planet')",38
"('to', 'specific')",38
"('francisco', 'bay')",38
"('bay', 'area')",38
"('ai', 'is')",38
"('experiences', 'that')",38
"('to', 'get')",38
"('partner', 'our')",38
"('several', 'us')",38
"('us', 'geographic')",38
"('position', 'ranges')",38
"('our', 'lowest')",38
"('lowest', 'geographic')",38
"('market', 'up')",38
"('highest', 'geographic')",38
"('market', 'pay')",38
"('of', 'factors')",38
"('compensation', 'company')",38
"('offered', 'equity')",38
"('equity', 'sign-on')",38
"('sign-on', 'payments')",38
"('payments', 'and')",38
"('compensation', 'may')",38
"('provided', 'as')",38
"('package', 'in')",38
"('full', 'range')",38
"('medical', 'financial')",38
"('financial', 'and/or')",38
"('other', 'benefits')",38
"('//www', 'aboutamazon')",38
"('aboutamazon', 'com/workplace/employee-benefits')",38
"('com/workplace/employee-benefits', 'this')",38
"('remain', 'posted')",38
"('posted', 'until')",38
"('until', 'filled')",38
"('filled', 'applicants')",38
"('applicants', 'should')",38
"('apply', 'via')",38
"('external', 'career')",38
"('career', 'site')",38
"('site', 'company')",38
"('that', 'meet')",38
"('on', 'twitter')",38
"('your', 'preferred')",37
"('product', 'management')",37
"('that', 'the')",37
"('data', 'structures')",37
"('opportunity', 'regardless')",37
"('and', 'optimize')",37
"('a', 'global')",37
"('data', 'sets')",37
"('the', 'technical')",37
"('way', 'and')",37
"('user', 'experience')",37
"('get', 'the')",37
"('the', 'company')",37
"('and', 'grow')",37
"('support', 'the')",37
"('skills', 'to')",37
"('team', 'in')",37
"('ai', 'to')",37
"('be', 'one')",37
"('please', 'see')",37
"('are', 'seeking')",37
"('years', 'experience')",37
"('to', 'lead')",37
"('into', 'a')",37
"('the', 'typical')",37
"('typical', 'base')",37
"('s', 'is')",37
"('year', 'there')",37
"('a', 'different')",37
"('different', 'range')",37
"('range', 'applicable')",37
"('applicable', 'to')",37
"('work', 'locations')",37
"('locations', 'within')",37
"('city', 'metropolitan')",37
"('metropolitan', 'area')",37
"('in', 'those')",37
"('those', 'locations')",37
"('locations', 'is')",37
"('required', 'qualifications')",37
"('technologies', 'in')",37
"('s', 'best')",37
"('company', 'dependent')",37
"('and', 'time')",37
"('they', 'need')",37
"('401', 'k')",37
"('and', 'relevant')",36
"('to', 'have')",36
"('and', 'connect')",36
"('ll', 'work')",36
"('people', 'to')",36
"('privacy', 'policy')",36
"('plans', 'and')",36
"('and', 'beyond')",36
"('they', 'are')",36
"('come', 'to')",36
"('ensure', 'that')",36
"('and', 'your')",36
"('meet', 'the')",36
"('the', 'needs')",36
"('at', 'openai')",36
"('disability', 'insurance')",36
"('place', 'to')",36
"('who', 'are')",35
"('impact', 'on')",35
"('in', 'one')",35
"('technology', 'and')",35
"('and', 'tools')",35
"('and', 'performance')",35
"('designing', 'and')",35
"('science', 'mathematics')",35
"('a', 'passion')",35
"('of', 'new')",35
"('a', 'product')",35
"('the', 'potential')",35
"('in', 'developing')",35
"('and', 'support')",35
"('the', 'latest')",35
"('related', 'to')",35
"('improve', 'the')",35
"('adhere', 'to')",35
"('we', 'help')",35
"('employees', 'and')",35
"('an', 'offer')",35
"('and', 'future')",35
"('proven', 'experience')",35
"('ideal', 'candidate')",35
"('work', 'environment')",35
"('growth', 'mindset')",35
"('roles', 'or')",35
"('4+', 'years')",35
"('do', 'you')",35
"('and', 'design')",35
"('diverse', 'experiences')",35
"('company', 'that')",35
"('a', 'broad')",34
"('language', 'processing')",34
"('and', 'our')",34
"('also', 'be')",34
"('and', 'driving')",34
"('to', 'address')",34
"('through', 'our')",34
"('help', 'build')",34
"('frameworks', 'and')",34
"('an', 'ai')",34
"('team', 's')",34
"('to', 'optimize')",34
"('beyond', 'the')",34
"('action', 'and')",34
"('and', 'implementing')",34
"('and', 'building')",34
"('portfolio', 'of')",34
"('people', 'in')",34
"('for', 'data')",34
"('and', 'products')",34
"('play', 'a')",34
"('policy', 'at')",34
"('at', 'all')",34
"('in', 'shaping')",34
"('mathematics', 'statistics')",34
"('values', 'we')",34
"('re', 'passionate')",34
"('status', 'our')",34
"('mentorship', 'and')",34
"('help', 'companies')",34
"('business', 'with')",34
"('the', 'globe')",34
"('applications', 'on')",34
"('the', 'same')",34
"('an', 'employee')",34
"('we', 'know')",34
"('recognized', 'as')",34
"('work', 'for')",34
"('an', 'opportunity')",33
"('data', 'processing')",33
"('re', 'looking')",33
"('algorithms', 'and')",33
"('new', 'ideas')",33
"('engineering', 'computer')",33
"('customers', 'and')",33
"('software', 'and')",33
"('product', 'development')",33
"('identify', 'and')",33
"('the', 'forefront')",33
"('health', 'and')",33
"('computer', 'vision')",33
"('adoption', 'and')",33
"('project', 'management')",33
"('written', 'and')",33
"('environment', 'and')",33
"('role', 'will')",33
"('salesforce', 'the')",33
"('is', 'in')",33
"('a', 'variety')",33
"('a', 'growth')",33
"('a', 'senior')",33
"('structured', 'and')",33
"('and', 'unstructured')",33
"('ensuring', 'that')",33
"('accessible', 'to')",33
"('join', 'the')",33
"('unstructured', 'data')",33
"('business', 'as')",33
"('ve', 'come')",33
"('right', 'place')",33
"('best', 'and')",33
"('way', 'people')",33
"('on', 'your')",33
"('world', 'if')",33
"('medical', 'devices')",33
"('has', 'the')",33
"('we', 'empower')",33
"('our', 'core')",33
"('new', 'way')",33
"('for', 'change')",33
"('change', 'and')",33
"('at', 'adobe')",33
"('of', 'life')",33
"('and', 'live')",33
"('our', 'health')",33
"('billions', 'of')",32
"('scale', 'and')",32
"('actionable', 'insights')",32
"('hardware', 'and')",32
"('and', 'ensure')",32
"('and', 'scaling')",32
"('to', 'inform')",32
"('technology', 'or')",32
"('experience', 'e')",32
"('role', 'and')",32
"('quality', 'and')",32
"('to', 'collaborate')",32
"('product', 'teams')",32
"('and', 'optimization')",32
"('areas', 'of')",32
"('proven', 'ability')",32
"('and', 'reporting')",32
"('customers', 'across')",32
"('to', 'define')",32
"('together', 'with')",32
"('us', 'in')",32
"('the', 'ideal')",32
"('of', 'software')",32
"('development', 'experience')",32
"('and', 'education')",32
"('in', 'ai')",32
